Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
37506348,Winners Take All: The Elite Charade of Changing the World,Anand Giridharadas,"Giridharadas, Anand",,"=""0451493249""","=""9780451493248""",0,4.13,Knopf,Hardcover,288,2018,2018,,2022/07/24,to-read,to-read (#64),to-read,,,,0,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.01,Spectra,Kindle Edition,559,2018,1992,,2022/07/19,to-read,to-read (#63),to-read,,,,0,0
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",3,4.11,Tor Books,Mass Market Paperback,382,1994,1986,2022/07/19,2022/07/18,,,read,,,,1,0
52381770,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,"Wells, Martha",,"=""1250229863""","=""9781250229861""",0,4.46,Tor.com,Hardcover,350,2020,2020,,2022/07/09,to-read,to-read (#62),to-read,,,,0,0
71728,Jonathan Livingston Seagull,Richard Bach,"Bach, Richard",Russell Munson,"=""0743278909""","=""9780743278904""",0,3.86,Scribner,Paperback,112,2006,1970,,2022/07/09,to-read,to-read (#61),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",4,4.31,Tor,Mass Market Paperback,324,2004,1985,,2022/07/09,,,read,,,,2,0
11324,Under the Net,Iris Murdoch,"Murdoch, Iris",,"=""0140014454""","=""9780140014457""",4,3.78,Penguin Books Ltd,Paperback,252,1982,1954,2022/06/30,2022/03/03,,,read,,,,1,0
56269174,"Talent: How to Identify Energizers, Creatives, and Winners Around the World",Tyler Cowen,"Cowen, Tyler",Daniel Gross,"=""1250275814""","=""9781250275813""",0,3.58,St. Martin's Press,Hardcover,288,2022,,2022/06/26,2022/06/26,,,read,,,,1,0
20262498,The Dog,Joseph O'Neill,"O'Neill, Joseph",,"=""0307378233""","=""9780307378231""",0,3.16,Pantheon,Hardcover,241,2014,2014,,2022/06/26,to-read,to-read (#60),to-read,,,,0,0
10073506,"Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy, #1)",John le Carré,"Carré, John le",,"=""""","=""""",0,4.06,Penguin Books,Paperback,381,2011,1974,,2022/06/26,to-read,to-read (#59),to-read,,,,0,0
35036409,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",0,4.05,Penguin Random House ,Paperback,331,2012,2011,,2022/06/22,to-read,to-read (#58),to-read,,,,0,0
13525945,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"Newport, Cal",,"=""1455509108""","=""9781455509102""",0,4.07,Business Plus,Kindle Edition,288,2012,2012,2022/05/31,2022/04/26,,,read,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.16,Grand Central Publishing,Hardcover,296,2016,2016,,2022/05/30,to-read,to-read (#57),to-read,,,,0,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.27,Knopf,ebook,368,2019,2019,,2022/01/04,,,read,,,,1,0
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",0,4.25,Small Beer Press,ebook,281,2010,2002,2022/05/19,2022/01/04,,,read,,,,1,0
426504,Ficciones,Jorge Luis Borges,"Borges, Jorge Luis","Anthony Kerrigan, Anthony Bonner","=""0802130305""","=""9780802130303""",0,4.40,Grove Press,Paperback,174,1994,1944,,2022/05/18,to-read,to-read (#56),to-read,,,,0,0
7963,Characters & Viewpoint,Orson Scott Card,"Card, Orson Scott",,"=""0898799279""","=""9780898799279""",0,4.04,Writer's Digest Books,Paperback,182,1999,1988,,2022/04/14,to-read,to-read (#55),to-read,,,,0,0
306010,Postcards from the Edge,Carrie Fisher,"Fisher, Carrie",,"=""0743466519""","=""9780743466516""",0,3.62,Pocket Books,Paperback,226,2002,1987,,2022/04/01,to-read,to-read (#54),to-read,,,,0,0
69242,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Heath, Chip",Dan Heath,"=""1400064287""","=""9781400064281""",0,3.98,Random House,Hardcover,291,2007,2006,,2022/03/29,to-read,to-read (#53),to-read,,,,0,0
34009,Lady of Mazes,Karl Schroeder,"Schroeder, Karl",,"=""0765350785""","=""9780765350787""",0,3.82,Tor Science Fiction,Mass Market Paperback,384,2006,2005,,2022/03/25,to-read,to-read (#52),to-read,,,,0,0
435,"The Locked Room (The New York Trilogy, #3)",Paul Auster,"Auster, Paul",,"=""""","=""""",0,3.88,Sun & Moon Pr,Hardcover,179,1986,1986,2022/03/16,2022/03/16,,,read,,,,1,0
